"country","region","date","Confirmed","Deaths","Recovered","Active","ISO2","ISO3"
"India","Sikkim",2021-01-10,5988,129,5508,351,"IN","IND"
"India","Tamil Nadu",2021-01-10,826261,12222,806875,7164,"IN","IND"
"India","Telangana",2021-01-10,290008,1566,283924,4518,"IN","IND"
"India","Tripura",2021-01-10,33307,388,32869,50,"IN","IND"
"India","Unknown",2021-01-10,0,0,0,0,"IN","IND"
"India","Uttar Pradesh",2021-01-10,593171,8495,573542,11134,"IN","IND"
"India","Uttarakhand",2021-01-10,93621,1573,88918,3130,"IN","IND"
"India","West Bengal",2021-01-10,560709,9941,542887,7881,"IN","IND"
"India","Andaman and Nicobar Islands",2021-01-11,4963,62,4884,17,"IN","IND"
"India","Andhra Pradesh",2021-01-11,885037,7131,875456,2450,"IN","IND"
"India","Arunachal Pradesh",2021-01-11,16777,56,16658,63,"IN","IND"
"India","Assam",2021-01-11,216635,1064,212579,2992,"IN","IND"
"India","Bihar",2021-01-11,255932,1439,250439,4054,"IN","IND"
"India","Chandigarh",2021-01-11,20342,327,19756,259,"IN","IND"
"India","Chhattisgarh",2021-01-11,290084,3505,278029,8550,"IN","IND"
